id,year,month,total_decedents,male,female,transgender_non_binary_two_spirit,year_month
1,2007,01,0,0,0,0,2007_01
2,2007,02,3,3,0,0,2007_02
3,2007,03,3,2,1,0,2007_03
4,2007,04,1,1,0,0,2007_04
5,2007,05,2,2,0,0,2007_05
6,2007,06,3,3,0,0,2007_06
7,2007,07,2,2,0,0,2007_07
8,2007,08,2,2,0,0,2007_08
9,2007,09,2,2,0,0,2007_09
10,2007,10,3,2,1,0,2007_10
11,2007,11,1,1,0,0,2007_11
12,2007,12,2,2,0,0,2007_12
13,2008,01,3,2,1,0,2008_01
14,2008,02,4,3,1,0,2008_02
15,2008,03,1,0,1,0,2008_03
16,2008,04,0,0,0,0,2008_04
17,2008,05,0,0,0,0,2008_05
18,2008,06,6,4,2,0,2008_06
19,2008,07,6,5,1,0,2008_07
20,2008,08,2,2,0,0,2008_08
21,2008,09,1,0,1,0,2008_09
22,2008,10,1,1,0,0,2008_10
23,2008,11,1,1,0,0,2008_11
24,2008,12,1,1,0,0,2008_12
25,2009,01,1,1,0,0,2009_01
26,2009,02,3,2,1,0,2009_02
27,2009,03,1,1,0,0,2009_03
28,2009,04,1,1,0,0,2009_04
29,2009,05,1,1,0,0,2009_05
30,2009,06,1,1,0,0,2009_06
31,2009,07,0,0,0,0,2009_07
32,2009,08,0,0,0,0,2009_08
33,2009,09,2,1,1,0,2009_09
34,2009,10,3,3,0,0,2009_10
35,2009,11,2,2,0,0,2009_11
36,2009,12,1,1,0,0,2009_12
37,2010,01,1,0,1,0,2010_01
38,2010,02,1,1,0,0,2010_02
39,2010,03,0,0,0,0,2010_03
40,2010,04,0,0,0,0,2010_04
41,2010,05,1,1,0,0,2010_05
42,2010,06,3,1,2,0,2010_06
43,2010,07,2,1,1,0,2010_07
44,2010,08,2,1,1,0,2010_08
45,2010,09,0,0,0,0,2010_09
46,2010,10,2,1,1,0,2010_10
47,2010,11,4,1,3,0,2010_11
48,2010,12,5,4,1,0,2010_12
49,2011,01,1,0,1,0,2011_01
50,2011,02,2,1,1,0,2011_02
51,2011,03,2,1,1,0,2011_03
52,2011,04,0,0,0,0,2011_04
53,2011,05,4,4,0,0,2011_05
54,2011,06,2,1,1,0,2011_06
55,2011,07,0,0,0,0,2011_07
56,2011,08,1,1,0,0,2011_08
57,2011,09,2,2,0,0,2011_09
58,2011,10,0,0,0,0,2011_10
59,2011,11,2,2,0,0,2011_11
60,2011,12,5,3,2,0,2011_12
61,2012,01,2,2,0,0,2012_01
62,2012,02,2,2,0,0,2012_02
63,2012,03,1,1,0,0,2012_03
64,2012,04,4,4,0,0,2012_04
65,2012,05,1,1,0,0,2012_05
66,2012,06,0,0,0,0,2012_06
67,2012,07,3,3,0,0,2012_07
68,2012,08,0,0,0,0,2012_08
69,2012,09,1,1,0,0,2012_09
70,2012,10,2,2,0,0,2012_10
71,2012,11,0,0,0,0,2012_11
72,2012,12,2,2,0,0,2012_12
73,2013,01,2,1,1,0,2013_01
74,2013,02,0,0,0,0,2013_02
75,2013,03,0,0,0,0,2013_03
76,2013,04,3,2,1,0,2013_04
77,2013,05,2,2,0,0,2013_05
78,2013,06,1,1,0,0,2013_06
79,2013,07,2,2,0,0,2013_07
80,2013,08,1,0,1,0,2013_08
81,2013,09,0,0,0,0,2013_09
82,2013,10,2,2,0,0,2013_10
83,2013,11,0,0,0,0,2013_11
84,2013,12,3,3,0,0,2013_12
85,2014,01,2,2,0,0,2014_01
86,2014,02,3,2,1,0,2014_02
87,2014,03,3,3,0,0,2014_03
88,2014,04,3,3,0,0,2014_04
89,2014,05,1,1,0,0,2014_05
90,2014,06,2,2,0,0,2014_06
91,2014,07,4,3,1,0,2014_07
92,2014,08,3,3,0,0,2014_08
93,2014,09,5,4,1,0,2014_09
94,2014,10,0,0,0,0,2014_10
95,2014,11,1,1,0,0,2014_11
96,2014,12,3,2,1,0,2014_12
97,2015,01,7,6,1,0,2015_01
98,2015,02,4,4,0,0,2015_02
99,2015,03,5,5,0,0,2015_03
100,2015,04,5,4,1,0,2015_04
101,2015,05,2,2,0,0,2015_05
102,2015,06,6,6,0,0,2015_06
103,2015,07,4,4,0,0,2015_07
104,2015,08,3,2,1,0,2015_08
105,2015,09,1,1,0,0,2015_09
106,2015,10,5,5,0,0,2015_10
107,2015,11,1,1,0,0,2015_11
108,2015,12,2,1,1,0,2015_12
109,2016,01,3,2,1,0,2016_01
110,2016,02,3,2,1,0,2016_02
111,2016,03,4,3,1,0,2016_03
112,2016,04,6,5,1,0,2016_04
113,2016,05,5,4,1,0,2016_05
114,2016,06,1,1,0,0,2016_06
115,2016,07,1,1,0,0,2016_07
116,2016,08,3,3,0,0,2016_08
117,2016,09,0,0,0,0,2016_09
118,2016,10,1,1,0,0,2016_10
119,2016,11,3,2,1,0,2016_11
120,2016,12,3,3,0,0,2016_12
121,2017,01,4,3,1,0,2017_01
122,2017,02,3,2,1,0,2017_02
123,2017,03,3,3,0,0,2017_03
124,2017,04,4,2,2,0,2017_04
125,2017,05,2,2,0,0,2017_05
126,2017,06,4,4,0,0,2017_06
127,2017,07,1,0,1,0,2017_07
128,2017,08,3,3,0,0,2017_08
129,2017,09,4,2,2,0,2017_09
130,2017,10,1,0,1,0,2017_10
131,2017,11,4,2,2,0,2017_11
132,2017,12,2,0,2,0,2017_12
133,2018,01,4,4,0,0,2018_01
134,2018,02,4,3,1,0,2018_02
135,2018,03,1,0,1,0,2018_03
136,2018,04,2,2,0,0,2018_04
137,2018,05,1,1,0,0,2018_05
138,2018,06,3,3,0,0,2018_06
139,2018,07,2,1,1,0,2018_07
140,2018,08,3,3,0,0,2018_08
141,2018,09,0,0,0,0,2018_09
142,2018,10,2,2,0,0,2018_10
143,2018,11,3,3,0,0,2018_11
144,2018,12,1,1,0,0,2018_12
145,2019,01,5,4,1,0,2019_01
146,2019,02,3,3,0,0,2019_02
147,2019,03,4,2,2,0,2019_03
148,2019,04,9,6,3,0,2019_04
149,2019,05,6,6,0,0,2019_05
150,2019,06,0,0,0,0,2019_06
151,2019,07,3,2,1,0,2019_07
152,2019,08,1,1,0,0,2019_08
153,2019,09,2,2,0,0,2019_09
154,2019,10,6,6,0,0,2019_10
155,2019,11,6,4,2,0,2019_11
156,2019,12,3,2,1,0,2019_12
157,2020,01,7,4,3,0,2020_01
158,2020,02,6,5,1,0,2020_02
159,2020,03,1,1,0,0,2020_03
160,2020,04,2,2,0,0,2020_04
161,2020,05,8,6,2,0,2020_05
162,2020,06,5,2,2,1,2020_06
163,2020,07,13,8,5,0,2020_07
164,2020,08,6,6,0,0,2020_08
165,2020,09,3,2,1,0,2020_09
166,2020,10,3,2,1,0,2020_10
167,2020,11,9,7,2,0,2020_11
168,2020,12,11,9,2,0,2020_12
169,2021,01,12,6,5,1,2021_01
170,2021,02,6,6,0,0,2021_02
171,2021,03,11,7,4,0,2021_03
172,2021,04,7,5,2,0,2021_04
173,2021,05,13,8,5,0,2021_05
174,2021,06,7,4,2,1,2021_06
175,2021,07,11,7,3,1,2021_07
176,2021,08,17,15,1,1,2021_08
177,2021,09,12,9,3,0,2021_09
178,2021,10,19,16,3,0,2021_10
179,2021,11,11,8,2,1,2021_11
180,2021,12,6,5,1,0,2021_12
181,2022,01,14,10,4,0,2022_01
182,2022,02,9,7,2,0,2022_02
183,2022,03,3,3,0,0,2022_03
184,2022,04,11,9,2,0,2022_04
185,2022,05,12,11,1,0,2022_05
186,2022,06,10,5,5,0,2022_06
187,2022,07,8,5,3,0,2022_07
188,2022,08,5,2,3,0,2022_08
189,2022,09,9,6,3,0,2022_09
190,2022,10,8,7,1,0,2022_10
191,2022,11,14,10,4,0,2022_11
192,2022,12,7,6,1,0,2022_12
193,2023,01,12,10,2,0,2023_01
194,2023,02,10,9,1,0,2023_02
195,2023,03,10,10,0,0,2023_03
196,2023,04,6,6,0,0,2023_04
197,2023,05,7,5,2,0,2023_05
198,2023,06,8,8,0,0,2023_06
199,2023,07,8,7,1,0,2023_07
200,2023,08,3,2,1,0,2023_08
201,2023,09,7,7,0,0,2023_09
202,2023,10,4,3,1,0,2023_10
203,2023,11,10,5,4,1,2023_11
204,2023,12,6,6,0,0,2023_12
205,2024,01,13,7,4,2,2024_01
206,2024,02,9,8,0,1,2024_02
207,2024,03,7,6,0,1,2024_03
208,2024,04,8,6,2,0,2024_04
209,2024,05,6,5,0,1,2024_05
210,2024,06,0,0,0,0,2024_06
211,2024,07,1,1,0,0,2024_07
212,2024,08,3,2,1,0,2024_08
